Emotion,Text
32774,joy,"In the last 10 days of the trail , however , he became much happier to take risks , although babies remained unkissed . "
32775,joy,Have nothing for school today because our field trip got canceled today is gonna be a joke
32776,joy,Done at with swim meet. Off to work. 
32777,anger,Snow is a fucking evil bitch -.- 
32778,joy,"A sunny Autumn day, after a long rainy period."
32779,joy,Break! Take a moment to think of something that makes you feel all warm &amp
32780,anger,Stock investors were not miffed by the frantic currency markets .
32781,fear,I'm now scared of small light green leafs bc they look like those nasty praying mantis bugs  
32782,anger,"In England wild storms swept the country , and commuters were infuriated and inconvenienced by the ASLEF dispute . "
32783,surprise,Don't you just love it when you see the presents you're about to get for Christmas.(Sarcasm) 
32784,joy,@mikkyjimenez my second fav programme behind Grand designs but being made to watch Water with Elephants 
32785,joy,Having passed an exam.
32786,joy,REdecorated the Christmas tree wif my mama (: 
32787,joy,going to check in with everyone at Operation Santa Claus this morning. I'll be out there later on today :) 
32788,joy,"Dear Lord , he can be stupid , thought Scarlet , as she saw Camille about to respond with the surprised gratification of a matador to whom the bull has blindly turned his flank . "
32789,anger,"At school, a couple of years ago, a so-called acquaintance told lies about me to a teacher I was told about it by friends who overheard the conversation."
32790,joy, Wow . We don't get to see this in the city ! 
32791,fear,If my tears hold value I will drop one for every single thing he showed Us... 
32792,joy,I met a girlfriend again after not seeing her for several months.  I saw her in a discotheque.  We do not like discotheques but we went there because we knew we would meet there.
32793,neutral, About what ? 
32794,surprise,@bartje95 @manonkimberleyx  @Celinexb @Celientje14 @leonritzen hoe maak je een enge spook? 
32795,surprise,  got a TD to end the half to take the lead. What a 
32796,joy,"Alright, so Im done tweeting for marcel :) Follow me @_ElectronOrbit SURPRISE HOE's!! :)"
32797,anger,i want to destroy something to the point the cops would have to arrest me. i'll probably burn down a house. #rage
32798,sadness,Is it not that unclear phone version &quot
32799,surprise,@camilleleahh haha I will make it up to you somehow Camille :) don't you worry 
32800,anger,"According to Sheila , Caan was enraged and charged at her . "
32801,joy,My plan for Christmas break: shut myself in my room and play Knights of the Old Republic and Mass Effect. Nothing else besides food. 
32802,neutral,It ’ s over . 
32803,joy,Swim practice starts back on Monday .. We have a meet on Tuesday.. /:
32804,sadness,"is so nice to dream about someone that you'll wanna meet,but is just a dream | "
32805,surprise,@Mariahdiva101 Who do you think you are begging MH to contact u or  you'll hurt yourself. You're still here &amp
32806,joy,Root canal time. #nomorepain
32807,anger," No , but I ended up finding out later that night when I saw her with another man at a club near my home ! "
32808,anger,I hate it when people are  and then after their real comes out like are you kidding me?
32809,joy,"Hot water bottle, a cup of tea &amp; my lovely coursework "
32810,joy,Awkward stage my junior year?  
32811,fear, It's a large sum of money . I can't afford to lose it . 
32812,neutral, See you ! 
32813,fear,My first public appearance in front of a rathe big audience.
32814,sadness,@geminisouth013 I feel some kinda way about you iggin my nostalgia tweet. :(
32815,anger,Have you ever felt so angry about men that you 've been moved to write a song about it ? 
32816,shame,"From time to time he brought them small presents of coffee and sugar , although he was always slightly shy and embarrassed about giving them . "
32817,neutral, He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? 
32818,anger,"I shrug my shoulders , for no matter how mad he gets , he can't duff me in , he 's stuck in bed , which is his hard cheese . "
32819,joy, It deserves . That film can give us a lot of inspiration . 
32820,fear,My father had been drinking and I feared him when we went to bed at night.
32821,sadness,sometimes I spend my nights watching Youtube clips of old games 
32822,joy,In a twin bed sweating my ass off listening to snoring. 
32823,anger, Stop picking on me . I am going to be mad . 
32824,neutral, Not at all . 
32825,sadness,Athelstan rubbed his mouth with his thumb and gazed directly at Cranston 's sorrowful face . 
32826,joy,This did the trick : the boys now have a more distant friendship and David is much happier . 
32827,sadness,My boyfriend is a soldier. He was on a leave. I felt sad when we had to get separated again.
32828,joy,@DaFuturMrKc @JCTHAGREAT ha this morning! Its real out here. Team  and 
32829,sadness,"When I took the B.A exams,I was expecting a 1st class even though I had not done very well. When the results came out I felt sad as I had missed the 1st class by 12 marks."
32830,fear,We were driving at night and I realized that a car was following us.
32831,joy,"He chuckled , delighted at having amazed her . "
32832,sadness,I honestly want to keep dancing but my feet hurt :( 
32833,fear,"The day before the university results came out I was both excited and scared.  If I failed I did not know what I would do as I did not want to work, my family was ambivalent."
32834,joy, finding the love of Jesus man 
32835,sadness,"@RyanJKren22 Seriously, shouldn't she be in a kitchen? Shouldn't someone be watching football? Shouldn't you be texting me back? "
32836,neutral," Oh , yes . "
32837,anger,A woman worth your its worth your #effort
32838,surprise,Wilde vandaag gaan  en mijn afmaken... in plaats daarvan lig ik #ziek in bed met een geimproviseerde kruik...
32839,anger, So that we can sit down together and listen to some music . 
32840,joy,@PlumsOfDoom Familiarise yourself with the new PG module I've just found out I'm teaching next semester? All about governance and risk. 
32841,joy, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
32842,neutral, right now ? 
32843,sadness,Two fire alarms taking away your lounges and sleep. 
32844,surprise,Riding in a Prius for the first time. I had no idea. Shouldn't be this cool. #hybrid
32845,joy,my weekend consists of various greek/church related things... 
32846,fear,"Wanna be remembered? On black friday, go to a store, push a kid over, look him in the eye and say &quot;You remember me&quot;  "
32847,neutral, All right . 
32848,fear,"«@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less»"
32849,sadness,Last night in Manila - flying back home tomorrow... 
32850,sadness,feet are killing .. hate standing all day @ work 
32851,surprise,Moms been ridin dirty since march.... Pendot fucked up @Bridget_Graham
32852,anger,sick of people who suck up to eachother ALL the time 
32853,joy,love it when work hit me with an extra 2hrs added on my shift tomorrow 
32854,neutral, Exactly . 
32855,fear,"Without another word , Bert Rafferty gently picked up the frightened child and made towards the cliff . "
32856,anger,I'm gonna start going to bed early so that my good day doesn't have time to turn into a bad night  #lovemylife #sarcasm
32857,joy,Guess I'll love my day! :D #HappyHeartFeeling #Inthemood #alegria :D
32858,joy,Where there is there is #creation. Where there is no joy there is no creation: know the nature of joy. ~ Veda Upanishads #quote
32859,surprise,Want to let your parents know that you're gay? Tell them during Christmas dinner. 
32860,joy,Fell asleep and woke back up to news of the lockout being over.. looks like I'll be at a Clipper game after all this season! 
32861,sadness," I can not stop coughing , and I can not stop sneezing . I vomited blood last night . Sorry , I am coughing again . "
32862,surprise,Zeer geslaagde avond gehad met als TOP #cadeau het door @JoHendrikx aangeboden Weekendje #Wenen. (en dan bedoelt hij niet #Vienna)
32863,joy,I refuse to let the devil steal I'm #GOOD
32864,disgust,just got told biggest LOL ever. some people neevr change. 
32865,joy,Not excited about 4 hours of work then a Buddhism presentation #justwanttorelax
32866,joy,Suppose to snow today 
32867,sadness,Ppl r talkin shit on selena so now im sad and mk and kelly r sad cuz they got in trouble. Were all sad. 
32868,joy,"First order of busines today: stop walking around like this, and put on some pants. Ah, the simple s in life."
32869,joy,When I heard that I had passed the second year exams.
32870,fear,What happened to originality? Everybody is following the same trend. Nobody wants to step out of the box. is a #bitch!
32871,joy," Yeah , you are right . I must stop complaining and stick to it every day . "
32872,sadness,But Miss Van Cheele was terribly sad about Gabriel-Ernest . 
32873,fear,have to drink water so that the kidneys are not sick !! :(
32874,fear,"Word! &quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
32875,surprise,Developing Browne Sugas film today 
32876,fear,"I don't very often feel frightened , but then I don't often put myself in that vulnerable position . "
32877,surprise,beyonce and jay expecting twins. got damn how famous are there kid gonna be. whole time i hope they dnt even do music. me.
32878,surprise,"Practice tonight, need to find new music for competition season, & this bitch thought she got rid of me, I'm back ;)"
32879,sadness,He was inconsolable when he found what she 'd done . 
32880,joy,This is my 1st normal morning since 4 years :') 
32881,surprise,When you find out that a &quot
32882,sadness, My washing machine isn't working . 
32883,neutral, I usually go in my free time on the weekends . How about you ? 
32884,fear,Premature wrinkles &amp
32885,sadness,if the @NewYorkMets do not sign Jose Reyes...seeing another 100+ loss season. 
32886,sadness,"When you're driving past @Jaans_RAWR 's house, knowing she's not there...."
32887,anger,They wanted something to happen but I didn't.
32888,sadness,i cant eat cause  i got to make weight  
32889,fear,Quand je vais dans certain coin en île de France j'ai l'impression d'être dans un autre monde cc aulney cc Clichy-sous-bois #chochotte
32890,fear,I was afraid when my first boyfriend threatened to make an end to our relationship because he didn't love me enough while I loved him very much.
32891,sadness,missed the Victoria Fashion show for Soccer #shouldofDVRit
32892,anger,Lenin was furious when he learned about it . 
32893,sadness," Oh , sorry to interrupt you . But I am calling to say goodbye to you . I am awfully sorry to tell you that I am afraid I could not see you off at the airport tomorrow , because I will have to attend a very important meeting . "
32894,joy,like @LeToyaLuckett God didn't breathe life into us for US 2 Draaaaag thru the day!  
32895,sadness,"I kept trying to get back to Changez 's lugubrious face , which reclined morosely in his good hand as the guests filled the air around him with cultivated noises . "
32896,anger,I don't actually believe in  I just believe in all the characteristics that follow.     #Darkness
32897,fear,"Being sexually assaulted (not rape, but passionate kissing) by a friend's father - he stopped when he was driving me home. I hadn't wanted the lift, had refused 3 times, and then felt it'd be rude to refuse again. Was really afraid of what he might do."
32898,anger,They wanted me to pay for a ticket twice because they said that the one I had was out of date.
32899,surprise, ranked best Indian city to live  - did u agree? :o
32900,surprise,@adikirilova @abbymumford yum yum! i am sleepy #yaaaawn
32901,joy,Lift up your hand and say &quot
32902,sadness,Was just informed that the Magic aren't printing out the fancy ticket booklets this year for season ticket holders. 
32903,surprise,"Heeeeyyyyy @MyWonton, those incredibly melancholic/random tweets were for a screen shot for a business presentation "
32904,sadness,Producers must believe in their ability and not succumb to despondency . 
32905,anger,Taking a larger perspective on your anger can help control it. #bornmad
32906,joy,"` Can I help you ? "" she asked , trying not to let him see the amusement in her blue eyes . "
32907,fear,Fuck.! Only a girl's anger on your silly questions can make you sweat in temperature near 12°C..! or #thrill #youprefer
32908,joy," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!"
32909,fear,I was brave enough ta b born in da world none
32910,sadness," There's nothing that can be done . Everything is gone . I wish I could tell you differently , but what has happened has happened . We will just have to figure out a way to move on . "
32911,surprise,"Ready to kidnap @lisashoshana for a hippy-dippy, Frisbee chucking, granola munching, tie-dye wearing, LSD tripping, evening. #Bos"
32912,joy,@philscutt Come back! We miss the Jungle Bookers!! Jonathan is being a delight as per usual... 
32913,sadness,I just wanna have to feel that lovely feeling inside when you're in love.. 
32914,neutral, Yes . 
32915,anger,➨ LET GO OF ANGER - it is an Acid that Burns Away the Delicate Layers... of your H A P P I N E S S ~unk #Creativator
32916,joy,i LOVE walking to walgreens in the freeeeezing cold. 
32917,joy, I'm so honored that you thought to ask me . 
32918,surprise, when you are the dude who told @ronakbear about @johncmayer's said cancer.... 
32919,neutral, It is ? 
32920,joy,Oh wait... I have multiple test tomorrow. 
32921,joy,Feel like crap today. 
32922,anger,"When he took his hand away still saying nothing , she felt slightly hurt and resentful . "
32923,joy,  Enjoy &amp
32924,anger,"I was accused of having done something, which I hadn't and got very angry."
32925,fear,Faith comes by hearing the Word of God (Rom 10:17). We can replace with faith by speaking what God’s Word says.
32926,joy,"Jungle Jim's was so much fun. Now, time for college apps. "
32927,joy, Have a nice journey ! Do give my regards to your parents . 
32928,surprise,The book that I'm getting for someone for Christmas was originally written by a German. That explains *everything*.  
32929,joy,irritated and all I want to do is go to bed. but I can't till we talk -___- 
32930,anger,"He sifted , somewhat peeved , through the remaining unopened mail . "
32931,joy,Nothing can compare to the feeling of having in the Lord 
32932,fear," is right,  act is unpatriotic.  Civil liberties in exchange for war on terrorism.  Latest  debate is more of same "
32933,fear,Les meilleurs Rick Roll restent à venir ! 
32934,sadness,"` I had the sense he was rather sad , "" the writer now remembers . "
32935,surprise,I'm Too Excited For This Weekend Baby!!!!! Waaaaaaaaaaa 
32936,joy,"When I found out that the girl, with whom I was in love, loved me too."
32937,sadness,A bride who just married a basketball player.. two days later he gets fired. 
32938,joy,We grew more and more excited . 
32939,fear,If we believed that someone wanted to take care of us maybe we would believe in taking care of each other.  &gt
32940,fear,"@thelastmilesq TY 4 tweets. Gr8 reminder that we're all same, in or out, we all grow, want peace and love, acceptance, feel alone.  "
32941,anger,"Just spent ages doing a really good post on tumbr, and it just vanished! -_- "
32942,surprise,Can't wait till Saturday night @heatherrosee7  
32943,sadness,When I was told a friend's baby had been born with only partial sight. This was her first child and she was not young (the mother that is).
32944,fear,remember this we took your land thanks so much day that we're winning the war on terror by an AMAZING margin but keep your up people
32945,fear,I don't like sharing my feelings Im scared you'll run if I admit something. 
32946,neutral, that ’ s interesting . What does your grandfather think of your step-mother ? 
32947,joy,"Very Happy to wake up with no work for 3 days, still got lots to do today. "
32948,neutral, Sorry . How far is the museum ? 
32949,sadness,I swear my poor dog Daisy has Alzheimer's. All the Mangans are growing up 
32950,surprise,"Martha replied , and left her twin sister blinking in astonishment at a possibility that had n't occurred to her before , but which was now enticingly attractive . "
32951,anger,When they denied a job to a person that I propsed giving political reasons that has nothing to do directly with the professional level.
32952,fear,I dnt open up a lot to my partner as much as I should..is letting my guard down and yu not gaf and hurt me reason why I dnt get attatched
32953,sadness,Would be tweetn mah ass off but phone about to die {-_-} ... No where near a out-let 
32954,joy,The dining center is being pressure washed this morning. Right outside my window. 
32955,joy,"The bouncer 's glee , the masculine grunts in the background of ` Quite right , too "" , were a timely reminder of surviving and thriving misogyny , and of the petty power struggle it engenders . "
32956,anger,hate U
32957,anger,A friend started to shout at me. He called me an old frump.
32958,joy,Joy remember what I told you earlier about putting 
32959,fear,I watched with dismay as they hit the floor and bounced to eight dusty oblivions . 
32960,surprise,can't wait to ruin the dance show 
32961,fear, You should have the of losing one's softness in the heart and its hardening.#islam
32962,fear,Find someone who knows you're not  but treat you as if you are &amp
32963,fear,I REALLY hate driving by water 
32964,fear,"Motorcycle accident with two people involved, running off the road. Broke an arm, only."
32965,joy,Be truly glad. There is wonderful ahead! I Peter 1:6 #turnbacktogod #jesustweeters
32966,joy,got to sit next to @mattjohno_94 for the rest of the night 
32967,fear,"Not afraid of tomorrow, for I have seen yesterday and I love today #less"
32968,anger,` You 're cross because I was honest when I spoke to you that night . 
32969,joy,Thanksgiving break has finally started!  I get to look forward to the 3 exams I have when I get back 
32970,surprise,@EmmA_rOOnEy15  welcome to St.johns where Jesus is our main priority we can set you up with your unexpected soulmate..
32971,sadness," Sorry , sir . We have only tables in the main dinning room left . "
32972,neutral, Why ? 
32973,neutral, If only I could join it ! 
32974,joy,Last few concepts for my research paper!!! So excited to finish !!!!!
32975,joy,De camino a Sol. A ? Naaaaaa. A ver las luces con mi chica. Llamarme #clapsico
32976,neutral," Oh , dear . "
32977,neutral, yeah . 
32978,joy,Air con is broken on the train 
32979,surprise,Mobile Music DJ's headed to a secret location 
32980,surprise,Sometimes the most dysfunctional friends can turn out to be the wisest ones. God has a strange sense of humor sometimes! 
32981,joy,Just shat on my Physics and OChem finals. Now I get to relax---jk I have calc at 7:30 AM 
32982,joy,Have a good day everyone. I have a life to live and I better get to living it cuz time is running out..   #decency #kindness
32983,fear,"Courage is mastery of fear, not absence of "
32984,sadness," I'm sorry , sir . "
32985,surprise,"Wow, @JacobEaton1 Is alone in the fourth row today what a "
32986,joy,Waking up early tomorrow to finish assignment 
32987,sadness," Well , he's become friends with a couple of older boys who are in a band . And one night last weekend , he came home really late , way past his curfew . "
32988,joy,I really hate my weekend mornings. Rehearsal from 8:30-4..with a fever 
32989,neutral," Well , I feel a little tired . "
32990,joy,Ya3ni tomorrow I still have to go to school to get my business book. 
32991,joy,sweet no class! :) now to study for a dumb chem test :P 
32992,anger,When I got to know about the reaction of a friend of mine in a certain situation.  I had not expected him to react that way.
32993,anger,"When I found out my cousin had been killed. I was angry at the world, and her murderer who was her ex-boyfriend. It was the worst and most hateful day of my life."
32994,joy,this morning's early morning glow. #beauty #ihavenotsleptyet #6am
32995,fear,Faith is the voice of God. Fear is the voice of satan. We can't listen to two voices. To do so makes us double-minded. @thebishop7  
32996,sadness,Damn it! @draughtsrb is out of the @FirestoneWalker XV!! I can't even buy a bottle for home! 
32997,surprise,need an idea of what to get me for xmas? buy me a calculator. i really need one   
32998,sadness,FIFA tournament with the boys. Milan is now out in the semi-final to City. Eternal sadness!  
32999,joy,@JasssssK @alex24601munro I know it sounds lame but I'm really tired and I've gotta get up in 10 hours 
33000,joy,Joy of joys the crisis team are stopping by 
33001,joy,Call on me! I have a good recipe for a turkey! 
33002,fear,When my sister was very ill and was admitted to the hospital.
33003,fear,"Edouard looked at him , and felt a sickening dismay . "
33004,anger,"Informed by the queen-dowager of their decision , resentful at being refused permission to return home , Anne made her displeasure plain . "
33005,sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat
33006,anger, But nobody uses Macintosh ! 
33007,joy,Their cheerfulness and delight at still being alive only made Charlie feel more guilty . 
33008,sadness,"This morning, I watch Despicable Me since I discovered that @Meghanphelisa has never seen it. #boatloadsofshame"
33009,joy,On my way to Wilkinson Eyre Architects tonight for part 3 study 
33010,fear,"When my relationship with my family is very poor I often fear being excluded from the group, a fear which is stronger in situations when an argument is on hand."
33011,joy,@alllieebieber OMG JUST  ! i get the death stare tomorrow..... 
33012,anger,The Sheffield Wednesday striker was livid at finding himself back on the bench just 28 minutes after being sent on as a second-half substitute at Norwich on Saturday . 
33013,neutral, See you . 
33014,joy,A27 traffic light failure north baddesley again 
33015,joy,"Love it Lisa! @benderthiel writing your dreams ! create your life! Spritual, Emotional, Menal, Physical, Fiscal #believer"
33016,anger,"She is furious that he has married beneath him , but appalled when her vicious attack on him threatens to end their relationship for ever . "
33017,fear,Melissa stared at her friend in dismay . 
33018,joy,"His excitement at the prospect of exploiting that potential is palpable , though he has no illusions about current difficulties . "
33019,sadness,Even crackers and Mac n chees isn't making this better :/ 
33020,sadness," No , I Don't . Either I shape up or my job is on the line . "
33021,fear,My  is to throw a huge  #party and no one show up... I would be upset and start inviting random people off the street : )
33022,fear,Hoje meu dia vai ser study study and study. Tenho que me aliviar pelo menos geo e hist. Serio...... 
33023,fear,"J'avais décidé de me coucher, et puis finalement... j'aime pas trop le lit vide et le bruit dans le couloir. "
33024,neutral, Great . 
33025,fear,I'm forcing myself to eat right now so I don't collapse on stage 
33026,surprise,Love my mum she's got me tickets to see billy Connelly live. :) 
33027,anger,She began to feel exasperated . 
33028,joy,@_iWorshipHIM Yes!  I've developed a greater appreciation for patience!! For God!! He ALWAYS has something greater in store for us!! 
33029,joy,"The Second I Walk In The Whole Room Gets Still,. I Don't Know How To Say This But I'm Kind Of A Big Deal "
33030,sadness,"@makenziejane oh I wish, you had to camp out for 2 days in tents and my distain for sports and bronchitis stopped me "
33031,joy,Lots of affection and lots of play 
33032,neutral," No , we live in the suburbs . What about you ? "
33033,joy,Work for the 2nd time today 
33034,fear,False Evidence Appearing Real. 
33035,fear,"The  will be  into   and it will keep on saying, Is there any  A muslim hell fire."
33036,joy," for Woden's Day: On the dotted line,& pirate made his black X,& not the treasure.&   "
33037,surprise,Totally just forgot that I saw drake in the summer perform guest at the britney spears concert he was the best part of the show...
33038,joy,@TheBodyShopUK My 10 month old Nephew's smile 1st thg on a morning when you open his bedroom door!! Nothing beats it!! xx
33039,fear,"Saiu nos cinemas americanos um remake de &quot;The Thing&quot;, filme que na minha infância me fez ficar noites sem dormir. "
33040,surprise,It's December 1!! The big build up to the best time of year starts here. Surreal Christmas special coming very soon we promise. 
33041,joy,off to la la land cause  apperently i gotta be at work at 9:30 
33042,neutral, Nothing . 
33043,joy,My first kiss.
33044,joy,Oh great. My iPhone cord won't charge from the laptop but will from an outlet. Guess I gotta buy a new one. 
33045,surprise,Moms Made Chili...Bt Im Not Hungry 
33046,surprise,@driejs Hoe kan je gemakkelijk een gitaar namaken van karton? 
33047,sadness,@MissDMW with this jankey ass phone messin up like it do.. I STILL DO HAVE BLACKBERRY! 
33048,sadness,Its so cold in my room tonight 
33049,neutral,Mr . Rogers ? 
33050,fear,I broke a window of a neighbouring house and I feared my mother's judgement and action on what I had done.
33051,sadness, We're sorry you have to leave . 
33052,fear,@ndamukong_suh let the haters hate this is the D where the weak are killed and eaten we love you we got ur back do ur thing 
33053,fear,The process of spotting and refusing to obey it is the source of all true #empowerment. -Martha Beck
33054,sadness,Missed Chuck tonight... I feel like I might cry. The final season of the greatest show in the world. 
33055,joy,"Sat, 26 Nov, I'll be at @RockwoodMusicNY at 9pm. It's kinda my b-day (actual: 27 Nov). In honor of my 45th, I'm giving away 45s.  "
33056,sadness,"She still , after all these years , did not know , and one hand clenched in involuntary anguish at what she thought of as her intolerable betrayal of her brother . "
33057,surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
33058,sadness,When a close friend died.
33059,sadness,really?! a Christmas version of the homeless/dying dogs commercial?! hahaha 
33060,sadness,I realized that the girl I loved had to leave me.
33061,joy,"Within months revival began , and overjoyed Christians overflowed into the city streets . "
33062,sadness,Almost every girl on my TL vex tonight... 
33063,sadness,"` I desire first to go to the palace of Westminster , my lord , there to greet the queen my mother and tender my condolences -- and to share the grief of my family . "" "
33064,sadness,"@CandyMaize aww, mine doesn't do it, and UK has to wait 3 months for the film "
33065,surprise,"Has returned from dog walking with a frozen face, I now have only David Guest's expression "
33066,surprise,"20 hari jelang bursa transfer Januari, saya yakin Comolli sudah punya nama2 yg siap didatangkan ke LFC &amp; belum diketahui media.. "
33067,anger,"Your eyesight 's not good enough , "" Miss Dersingham said with exasperation . "
33068,sadness,"Jessica felt more than flustered , she felt devastated . "
33069,disgust,"Darren , looking small and extremely disgruntled , was slumped in the front left-hand seat . "
33070,joy,Don't worry . I'm sure you'll do better next time . 
33071,fear,"Emmeline grew pale , both from horror at Bastide 's plight and her own . "
33072,sadness,When summer is over and I have to leave the town where I spend my holidays.
33073,sadness,This whole time Hershel had Sofia in the &quot
33074,fear,Actually nervous for the amounts of chilli my dad has put in my salad... 
33075,neutral," Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . "
33076,anger, I said sunny side up ! How many times do I have to tell you . 
33077,neutral," Sorry , I'm engaged for the foxtrot.Will the next Walls be all right ? "
33078,joy,Cc @B_Moletsane LOL!! Lwena my honey.. Hahaa ☺ RT @Bonang_M: My honey's birthday in 5 days... ♥ 
33079,joy,£28 until the 23rd and £20 is going on driving tomorrow... fuck me im fucked! Christmas shopping on Christmas eve it is again! 
33080,anger,Forgiveness doesn't heal the wounds
33081,surprise,@JackmiIburn @jakeyduffy is going to wear the mysterious shirt no. 3 
33082,fear,Mr Carruthers said that the vast majority of evidence was over but acknowledged he was concerned that Mr McTear would not be able to conclude his testimony . 
33083,joy," Merry Christmas , Lee ! "
33084,surprise,Watch for  in your inbox  morning.  Big  in store!
33085,joy,Got a headache and feel like shit 
33086,sadness,@minisouthafrica Wed 21st. Too late for my next trip. 
33087,joy,Grocery shopping while listening to @jesusculture's latest project just inspired an impromptu dance party in   
33088,joy," The fans are great here , too . Not like in Philadelphia . "
33089,joy,"just put cheese slices on toast, melted under the grill, with beans and scrambled egg! "
33090,joy,Research project presentation all day. Why'd I pick Monday?! 
33091,anger,Anger is what makes a clear mind seem clouded. 
33092,fear,"I dont know how I can let someone in again, the of a repeat is greater than my fear of being shot... #Rough"
33093,anger,When I found out that my good friend and roommate did not pay the phone bill and electric bill like he promised and let me down.
33094,joy,"Apparently my pain and swelling should be gone by now, so now I have more painkillers to take.. and steroids. "
33095,joy,True happiness involves the full use of one's power and talents. ~John Gardner  RT @StefanLecesque @anitabondi @Staticulator
33096,joy,@Matador_Shark lol. U really are timmah today! Reunion is today2pm. Prob kick on after. Then I've got a wog function to go to tonight. 
33097,surprise,Solemn vespers is as unexpected as the Spanish Inquisition. 
33098,sadness,I always get super disappointed when I pass a horse trailer and there's no horses in it:( 
33099,anger,And she was furious that Mr Clarke did not break the news to her before holding a Press conference . 
33100,sadness,"@michaelmuhney amazes me when a man/wife adopt they don't think of their sex lives, yet a gay couple it's the headline "
33101,sadness,"Woow! This week, tonight, it all! Has been soo great! Love all my friends especially @kennahgurl  will miss every1.. (:"
33102,joy,cleaned my room for the first time since july. now I get to move into my brothers room and listen to him play computer games all night. 
33103,sadness,The death of a close relative.
33104,surprise,"Finnah go watch this girl play one time , she better be serving "
33105,anger,The juniors in our dormitory at school started to complain and make a lot of noise about the duties assigned to them by the prefect who was my class-mate and was very cool and dull.
33106,surprise,@IMjILLian thank god my mom bought me a snowman kit too !!!!!
33107,fear,Harry was a little worried to see the water supply diminishing so rapidly but was pleased that Lucy was enjoying herself . 
33108,fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
33109,fear,When someone close to me is travelling by car and is delayed.
33110,anger," Oh , what a terrible situation ! This traffic is unbearable . "
33111,joy, #Peace #Patience #Kindness #Goodness #Faithfulness #Gentleness #Self-Control // Keeping it real.
33112,anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair).  This is when only a fractoin of the students can find an appartment.
33113,joy,Didn't sleep last night..and now it's rime for class. 
33114,neutral,How may I help you ? 
33115,joy,Fleet Foxes+ Kanye tickets sorted for Christmas holidays...Future music and Bon iver tickets sorted for work holiday to Perth next year.
33116,joy,Spending days off to online chat with battlefield tech support. Help me Adeep! 
33117,shame,"Bob became embarrassed at his own effusiveness , and turned back to the screen , tapping out the rhythm with his fingers on the side of his glass . "
33118,joy,Elf time! Cosied in front of the tv with proof-reading to be done 
33119,surprise,@rvberloo Maak als surprise een lege kartonnen doos en noem het een  
33120,anger,ugh can't even listen to my fucking ipod! 
33121,joy,"When I succeeded in achieving a scholarship for which I had strived hard during a period of financial, personal and physical stress."
33122,joy, The ice will soon be thick enough for skating . I am so fond of winter sports . 
33123,neutral," Oh , I see . "
33124,surprise,"&quot;Non ce n'est pas une erreur, vous avez perçu l'intéressment par rapport à l'activité de 2010 !&quot; #ViveIkea"
33125,anger, It's unfair . 
33126,surprise, RT “@jamiedorsch: #ThatAwkwardMomentWhen @misssteph77 comes home from college and greets you... In the shower...... ”
33127,anger,"When the others did not do their bit of work on a group assignment task, and I had to do all the work."
33128,sadness,since i got an iphone... i tweet like less than half the amount that i used to... 
33129,sadness,Home from RW. Too bad I had to go home na agad. #dilangikawmaykarapatanpumarty
33130,sadness,After training for an Australian championship competition for a year and then injuring myself 2 weeks before the competiotion.
33131,joy,Brutal night!    ... going to be cranky tomorrow! 
33132,anger,"When during a social evening with my father, brother, sister, close friend and my father's 2nd wife - I had an argument with my father, who abused my friend who was sticking up for me."
33133,sadness,My girlfriend let me down badly 3 times in one week. These instances summed up all the negative aspects of our relationship which at the time seemed doomed to fail.
33134,joy,@TayDeath I don't feel good AT ALL. Passed out in my shower! #nbd
33135,joy,when @ThatBoyJuice32 calls me super hyper waking me up 
33136,surprise,Woahhhhhhh just found out my grandpa was the Iranian prime minister #didntseethisonecoming
33137,sadness, I really don't want to know about this . Physics gives me a headache . 
33138,sadness,Haven't seen Frankii in mad long... 
33139,disgust,About to gargle this salt water 
33140,anger,Walked to a tutorial is a downpoor and mental winds for the lecturer not to turn up! 
33141,fear,"... but it does have an eerie feeling to it and for those looking to buy a game that makes you hesitate around corners, I'd recommend"
33142,anger,NCIS I love you... But do you have to cut to commercials every time something cool is about to happen? 
33143,surprise,"Services are robbing bastards. &quot;Have you got free WiFi?&quot; Costa guy, &quot;yeah, should just pick it up automatically.&quot; Doesn't work "
33144,sadness,Lost in a fog of uncertainty 
33145,joy,just finished my English controlled assessment! 
33146,joy,Power station today 
33147,sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.
33148,surprise,Have an amazingggg day everyone:) I actually don't mind being up this early lol
33149,joy,Her stumbling repetition masked a growing delight at his basic error . 
